LOCATION,YEAR,TOTAL_COLLISIONS,BICYLCLES_IN_TOTAL,PEDESTRIANS_IN_TOTAL,X,Y
210 W OF MERIVALE RD @ WEST HUNT CLUB RD (0004688),2014,5,,,365431.7011,5021829.4951
225 E OF RIVERSIDE DR / T & T SC @ HUNT CLUB RD (0013516),2014,2,,,368235.6976,5022055.9786
2ND LINE RD btwn DALMENY RD & DALMENY RD (2) (__3ZBOYY),2014,1,,,377246.28023,4998940.11444
3RD LINE RD btwn MCDIARMID RD & KAYCOURT DR (__3ZBPK8),2014,1,,,380054.73391,4997642.6288
400 E OF TRAINYARDS DR @ INDUSTRIAL AVE (0014364),2014,1,,,372091.6332,5030434.6229
5TH LINE RD btwn SPRINGHILL RD & DEVEREAUX RD (__3ZA7IA),2014,1,,,381425.1598,5005157.36034
8TH LINE RD @ MITCH OWENS RD (0003574),2014,4,,,382362.7921,5018774.471
8TH LINE RD @ PARKWAY RD (0001611),2014,2,,,383165.797,5016891.4581
8TH LINE RD btwn ADAM BAKER WAY & IVESON DR (__3ZAZ9H),2014,1,,,383473.24505,5016167.23526
8TH LINE RD btwn CASTOR RD & MARIONVILLE RD (__3ZA6WK),2014,2,,,388847.89976,5002607.37926
8TH LINE RD btwn FOREST GREEN CRES & FOREST GREEN CRES (__3ZA201),2014,1,,,384268.67764,5014257.28191
8TH LINE RD btwn FOREST GREEN CRES & PANA RD (__3ZA20Z),2014,1,,,384531.98907,5013594.80063
8TH LINE RD btwn MITCH OWENS RD & RODNEY FARM DR (__3ZA2TG),2014,2,,,382719.70129,5017952.348
8TH LINE RD btwn PANA RD & ANDREW SIMPSON DR (__3ZA20Y),2014,1,,,384982.05557,5012405.84401
8TH LINE RD btwn RODNEY FARM DR & PARKWAY RD (__3ZA20P),2014,1,,,383117.58773,5017009.3025
8TH LINE RD btwn VAN RENS ST & GLENWOOD DR (__3ZA64S),2014,2,,1,385788.2996,5010290.24053
9TH LINE RD @ MITCH OWENS RD (0004112),2014,1,,,384107.8019,5019820.4729
9TH LINE RD btwn PANA RD & VICTORIA ST (__3ZA64J),2014,1,,,386779.54843,5013177.13914
ABBEYDALE CIRC btwn Continuation of ABBEYDALE CIRC & Continuation of A (__5GNZCA),2014,2,,,348431.66662,5023169.80452
ABBEYHILL DR @ CASTLEFRANK RD (0003931),2014,1,,,353223.6189,5017260.4501
ABBEYHILL DR @ EAGLESON RD (0003404),2014,5,,,353827.6249,5018034.4559
ABBEYHILL DR btwn ALDBURN PL & SHERWOOD ST (__3ZAB1B),2014,1,,,353346.26101,5017459.49138
ABBOTSFORD RD btwn MORRENA RD & MORRENA RD (__3ZAB2Z),2014,1,,,353025.87537,5017717.35293
ABBOTT ST    E btwn CARBERY DR & STITTSVILLE MAIN ST (__3ZAC99),2014,1,,,350461.01229,5013521.96922
ABBOTT ST @ CARBERY DR (0000324),2014,1,,,350673.5901,5013712.423
ABBOTT ST @ STITTSVILLE MAIN ST (0000082),2014,2,,,350248.586,5013331.4211
ABERDEEN ST @ PRESTON ST (0005695),2014,5,,1,366651.703,5029341.5589
ABERDEEN ST @ ROCHESTER ST (0002164),2014,1,,,366824.7041,5029414.5589
ABERDEEN ST btwn PRESTON ST & END (__3ZA1WR),2014,2,,,366600.203,5029318.5589
ABETTI RDG/RIVERSTONE DR @ JOCKVALE RD (0009699),2014,2,1,,365164.8641,5013549.969
ABETTI RIDGE btwn ESPIN HTS & JOCKVALE RD (__6E55N5),2014,1,,,365071.55602,5013498.5476
ACACIA AVE @ BEECHWOOD AVE (0005753),2014,2,,,369634.706,5033942.5981
ACACIA AVE @ CORONA AVE/RIDEAU TER (0010717),2014,1,,,369548.7049,5034178.6
ACACIA AVE @ CRESCENT RD/THOROLD RD (0005894),2014,1,,,369039.7,5035181.6951
ADELINE ST @ PRESTON ST (0006113),2014,2,1,,366779.7041,5029050.5559
ADELINE ST btwn NORFOLK AVE & ROCHESTER ST (__3ZA038),2014,1,,,366893.7045,5029103.05645
AERO DR @ HOLLY ACRES RD (0001088),2014,1,,,358343.226,5023230.2381
AGES DR @ HAWTHORNE RD (0006397),2014,2,,,374971.7411,5027717.5359
AGES DR @ LEGACY RD (0005141),2014,1,,,374601.74,5027551.5359
AGINCOURT RD @ MAITLAND AVE (0003375),2014,4,,,363446.691,5025450.5249
AGINCOURT RD btwn NAVAHO DR & MALLARD AVE (__3ZAAMZ),2014,1,,,363449.52755,5024829.34905
AIRD PL @ BATON CRT (0003227),2014,1,,,351772.6121,5019020.466
AIRD PL btwn JACKMAN TER & JACKMAN TER (__3ZA50S),2014,1,,,352004.76159,5019227.35544
AIRPORT PKWY @ BROOKFIELD RD RAMP 34 (0002634),2014,1,,,368762.7151,5026514.534
AIRPORT PKWY @ HUNT CLUB RD (0010856),2014,14,1,,371019.2849,5023702.711
AIRPORT PKWY @ HUNT CLUB RD RAMP 42 (0011622),2014,1,,,370671.114,5024227.646
AIRPORT PKWY @ UPLANDS DR (0008694),2014,2,,,370849.9751,5021060.8359
AIRPORT PKWY @ UPLANDS DR RAMP 62 (0004115),2014,2,,,371297.731,5021622.4959
AIRPORT PKWY btwn AIRPORT PARKWAY PRIV & RAMP (__3ZA23H),2014,2,,,371022.04925,5021241.27261
AIRPORT PKWY btwn AIRPORT PKWY & RAMP (1) (__3ZA22Y),2014,1,,,371071.0971,5023476.6452
