Location,YEAR,TOTAL_COLLISIONS,BICYLCLES_IN_TOTAL,PEDESTRIANS_IN_TOTAL,X,Y
210 W OF MERIVALE RD @ WEST HUNT CLUB RD (0004688),2015,9,1,,365431.7011,5021829.4951
225 E OF RIVERSIDE DR / T & T SC @ HUNT CLUB RD (0013516),2015,2,,,368235.6976,5022055.9786
240 S OF CHARLEMAGNE BLVD/DES EPINETTES AVE @ TENTH LINE RD (0014362),2015,3,,,383736.1826,5036677.4553
250 N OF KLONDIKE RD @ MARCH RD (0013528),2015,1,,,349101.815,5024237.5887
250 W OF STITTSVILLE MAIN ST @ HAZELDEAN RD (0013521),2015,1,,,349335.7492,5014747.4515
275 E OF HAWTHORNE RD/OC TRANSPO TURNAROUND @ HUNT CLUB RD (0016285),2015,2,,,375721.2322,5026539.3369
2ND LINE RD @ OSGOODE MAIN ST (0005251),2015,1,,,376058.7219,5001706.3329
2ND LINE RD btwn CABIN RD & LOMBARDY DR (__3ZA6LP),2015,1,,,375783.04528,5002373.0846
2ND LINE RD btwn GOWAN GT & DALMENY RD (__3ZA728),2015,1,,,376791.34114,5000005.31141
320 W OF HUNTMAR DR @ CAMPEAU DR (0016431),2015,1,,,348792.792,5017828.3739
400 E OF TRAINYARDS DR @ INDUSTRIAL AVE (0014364),2015,5,,,372091.6332,5030434.6229
472 E OF CHESTNUT ST/UOTTAWA @ LEES AVE (0008222),2015,1,,,369788.7843,5031041.2897
4TH LINE RD btwn DALMENY RD & DALMENY RD (__3ZA7JH),2015,1,,,380945.246,5001242.8355
55 S OF RIDEAU ST @ COLONEL BY DR (0016433),2015,2,,,367938.6397,5031987.9136
5TH LINE RD btwn SPRINGHILL RD & DALMENY RD (__3ZA7I4),2015,1,,,382158.57932,5003237.91399
8TH LINE RD @ MITCH OWENS RD (0003574),2015,1,,,382362.7921,5018774.471
8TH LINE RD @ PARKWAY RD (0001611),2015,1,,,383165.797,5016891.4581
8TH LINE RD @ VAN RENS ST (0010438),2015,1,,,385690.7989,5010550.411
8TH LINE RD @ VICTORIA ST (0001616),2015,1,,,385452.8,5011165.4159
8TH LINE RD btwn GLENWOOD DR & WALKER RD (__3ZBPK9),2015,1,,,386034.91287,5009639.54409
8TH LINE RD btwn PARKWAY RD & ADAM BAKER WAY (__3ZA204),2015,1,,,383274.50629,5016633.73295
8TH LINE RD btwn RODNEY FARM DR & PARKWAY RD (__3ZA20P),2015,1,,,383117.58773,5017009.3025
9TH LINE RD @ COOPER HILL RD (0001573),2015,1,,,385680.811,5016048.4479
9TH LINE RD @ MITCH OWENS RD (0004112),2015,1,,,384107.8019,5019820.4729
9TH LINE RD @ PARKWAY RD (0001574),2015,1,,,384900.8071,5017936.4611
9TH LINE RD @ VICTORIA ST (0001624),2015,1,,,387132.8121,5012213.4189
9TH LINE RD btwn PANA RD & VICTORIA ST (__3ZA64J),2015,1,,,386779.54843,5013177.13914
9TH LINE RD btwn VICTORIA ST & SPRINGHILL RD (__3ZA6V9),2015,1,,,387888.0935,5010314.25597
ABACA WAY btwn KITTIWAKE DR & KITTIWAKE DR (__4TYFW7),2015,1,,,348553.74329,5014121.95604
ABBEY RD @ ALTA VISTA DR (0007437),2015,1,,,370639.7181,5030054.5611
ABBEYDALE CIRC btwn Continuation of ABBEYDALE CIRC & Continuation of A (__5GNZCA),2015,1,,,348431.66662,5023169.80452
ABBEYHILL DR @ EAGLESON RD (0003404),2015,2,,,353827.6249,5018034.4559
ABBEYHILL DR btwn ALDBURN PL & SHERWOOD ST (__3ZAB1B),2015,1,,1,353346.26101,5017459.49138
ABBEYHILL DR btwn SURREY LANE & EAGLESON RD (__3ZAB3W),2015,1,,,353748.64465,5018004.21992
ABBOTT ST    E btwn GRANITE RIDGE DR & TALLTREE CRES (__54PPHJ),2015,1,,,351619.5296,5014556.1351
ABBOTT ST    W btwn JONATHAN PACK ST & STITTSVILLE MAIN ST (__3ZABC7),2015,1,,,350051.99594,5013157.63573
ABBOTT ST @ GRANITE RIDGE DR (0009728),2015,1,,,351483.7521,5014434.7351
ABBOTT ST @ IBER RD (0010542),2015,2,,,351978.077,5014876.394
ABBOTT ST @ MOSS HILL TR (0000054),2015,2,,,350943.5929,5013955.4249
ABBOTT ST @ STITTSVILLE MAIN ST (0000082),2015,3,1,1,350248.586,5013331.4211
ABERDEEN ST @ PRESTON ST (0005695),2015,1,,,366651.703,5029341.5589
ABERDEEN ST btwn PRESTON ST & END (__3ZA1WR),2015,1,,,366600.203,5029318.5589
ABERDEEN ST btwn PRESTON ST & ROCHESTER ST (__3ZA4AN),2015,1,,,366738.64048,5029376.8699
ACACIA AVE @ BEECHWOOD AVE (0005753),2015,1,,,369634.706,5033942.5981
ACACIA AVE @ GREEN AVE (0005902),2015,1,,,369558.7049,5034033.5989
